instrumentId,optionName,indexName,expiryInWords,optionType,optionStrikePrice,expiryInDate
1141123,SENSEX 29JUL2025 PE 87500,SENSEX,29JUL2025,PE,87500,2025-07-29T00:00:00
828515,SENSEX 26AUG2025 PE 73300,SENSEX,26AUG2025,PE,73300,2025-08-26T00:00:00
826919,BANKEX 26AUG2025 CE 65300,BANKEX,26AUG2025,CE,65300,2025-08-26T00:00:00
841920,SENSEX 25DEC2029 PE 75000,SENSEX,25DEC2029,PE,75000,2029-12-25T00:00:00
826995,BANKEX 26AUG2025 PE 68900,BANKEX,26AUG2025,PE,68900,2025-08-26T00:00:00
821538,SENSEX 29JUL2025 PE 88900,SENSEX,29JUL2025,PE,88900,2025-07-29T00:00:00
1141066,SENSEX 29JUL2025 CE 82900,SENSEX,29JUL2025,CE,82900,2025-07-29T00:00:00
886542,SENSEX 24JUN2025 PE 77600,SENSEX,24JUN2025,PE,77600,2025-06-24T00:00:00
1133473,BANKEX 24JUN2025 PE 70900,BANKEX,24JUN2025,PE,70900,2025-06-24T00:00:00
824853,SENSEX 08JUL2025 CE 75600,SENSEX,08JUL2025,CE,75600,2025-07-08T00:00:00
1141425,SENSEX 29JUL2025 CE 84200,SENSEX,29JUL2025,CE,84200,2025-07-29T00:00:00
820484,SENSEX 24JUN2025 PE 88700,SENSEX,24JUN2025,PE,88700,2025-06-24T00:00:00
886563,SENSEX 24JUN2025 CE 75900,SENSEX,24JUN2025,CE,75900,2025-06-24T00:00:00
823106,SENSEX 25DEC2029 PE 88000,SENSEX,25DEC2029,PE,88000,2029-12-25T00:00:00
826521,BANKEX 26AUG2025 PE 68000,BANKEX,26AUG2025,PE,68000,2025-08-26T00:00:00
1101134,BANKEX 24JUN2025 CE 59600,BANKEX,24JUN2025,CE,59600,2025-06-24T00:00:00
888954,SENSEX 24JUN2025 PE 81100,SENSEX,24JUN2025,PE,81100,2025-06-24T00:00:00
1141148,SENSEX 29JUL2025 CE 84500,SENSEX,29JUL2025,CE,84500,2025-07-29T00:00:00
1141411,SENSEX 29JUL2025 CE 74200,SENSEX,29JUL2025,CE,74200,2025-07-29T00:00:00
857855,SENSEX 26JUN2029 PE 83000,SENSEX,26JUN2029,PE,83000,2029-06-26T00:00:00
1159465,SENSEX 29DEC2026 CE 78000,SENSEX,29DEC2026,CE,78000,2026-12-29T00:00:00
1141624,BANKEX 29JUL2025 PE 55300,BANKEX,29JUL2025,PE,55300,2025-07-29T00:00:00
830310,SENSEX 15JUL2025 PE 89300,SENSEX,15JUL2025,PE,89300,2025-07-15T00:00:00
823020,SENSEX 01JUL2025 PE 89100,SENSEX,01JUL2025,PE,89100,2025-07-01T00:00:00
826435,SENSEX 26AUG2025 PE 88800,SENSEX,26AUG2025,PE,88800,2025-08-26T00:00:00
820177,SENSEX 28DEC2027 CE 87000,SENSEX,28DEC2027,CE,87000,2027-12-28T00:00:00
1140207,BANKEX 29JUL2025 PE 63500,BANKEX,29JUL2025,PE,63500,2025-07-29T00:00:00
1106711,BANKEX 24JUN2025 PE 49800,BANKEX,24JUN2025,PE,49800,2025-06-24T00:00:00
1141496,BANKEX 29JUL2025 CE 57400,BANKEX,29JUL2025,CE,57400,2025-07-29T00:00:00
824690,SENSEX 08JUL2025 CE 78000,SENSEX,08JUL2025,CE,78000,2025-07-08T00:00:00
821893,SENSEX 01JUL2025 PE 75800,SENSEX,01JUL2025,PE,75800,2025-07-01T00:00:00
824859,SENSEX 08JUL2025 CE 83300,SENSEX,08JUL2025,CE,83300,2025-07-08T00:00:00
824674,SENSEX 08JUL2025 CE 82700,SENSEX,08JUL2025,CE,82700,2025-07-08T00:00:00
1100908,SENSEX 31MAR2026 CE 78000,SENSEX,31MAR2026,CE,78000,2026-03-31T00:00:00
824868,SENSEX 08JUL2025 PE 85000,SENSEX,08JUL2025,PE,85000,2025-07-08T00:00:00
1141301,BANKEX 29JUL2025 CE 70000,BANKEX,29JUL2025,CE,70000,2025-07-29T00:00:00
826626,SENSEX 26AUG2025 CE 79200,SENSEX,26AUG2025,CE,79200,2025-08-26T00:00:00
824713,SENSEX 08JUL2025 PE 84600,SENSEX,08JUL2025,PE,84600,2025-07-08T00:00:00
1127985,BANKEX 24JUN2025 PE 69000,BANKEX,24JUN2025,PE,69000,2025-06-24T00:00:00
1135301,SENSEX 24JUN2025 PE 86900,SENSEX,24JUN2025,PE,86900,2025-06-24T00:00:00
1141040,BANKEX 29JUL2025 PE 68900,BANKEX,29JUL2025,PE,68900,2025-07-29T00:00:00
827066,SENSEX 26AUG2025 CE 76800,SENSEX,26AUG2025,CE,76800,2025-08-26T00:00:00
826949,BANKEX 26AUG2025 CE 58600,BANKEX,26AUG2025,CE,58600,2025-08-26T00:00:00
826801,BANKEX 26AUG2025 CE 69500,BANKEX,26AUG2025,CE,69500,2025-08-26T00:00:00
828537,SENSEX 22JUL2025 CE 78800,SENSEX,22JUL2025,CE,78800,2025-07-22T00:00:00
822283,SENSEX 01JUL2025 PE 74500,SENSEX,01JUL2025,PE,74500,2025-07-01T00:00:00
839910,SENSEX 05AUG2025 CE 86800,SENSEX,05AUG2025,CE,86800,2025-08-05T00:00:00
830347,SENSEX 26AUG2025 PE 89600,SENSEX,26AUG2025,PE,89600,2025-08-26T00:00:00
820089,SENSEX 24JUN2025 PE 89400,SENSEX,24JUN2025,PE,89400,2025-06-24T00:00:00
828892,SENSEX 22JUL2025 CE 79300,SENSEX,22JUL2025,CE,79300,2025-07-22T00:00:00
826611,SENSEX 15JUL2025 PE 87800,SENSEX,15JUL2025,PE,87800,2025-07-15T00:00:00
830594,SENSEX 22JUL2025 CE 89300,SENSEX,22JUL2025,CE,89300,2025-07-22T00:00:00
830332,SENSEX 26AUG2025 CE 89300,SENSEX,26AUG2025,CE,89300,2025-08-26T00:00:00
